OBJECTID,PROJECTID,PROJECTNAME,WORKNUMBER,PRIMARYPROGRAMNAME,LOCATIONTYPE,X,Y,SMP_TREETRENCH,SMP_PLANTER,SMP_BUMPOUT,SMP_RAINGARDEN,SMP_BASIN,SMP_INFILTRATIONSTORAGETRENCH,SMP_PERVIOUSPAVING,SMP_SWALE,SMP_WETLAND,SMP_GREENROOF,SMP_OTHER,SMP_STORMWATERTREE,SMP_DRAINAGEWELL,SMP_GREENGUTTER,SMP_BLUEROOF,SMP_DEPAVING,SMP_INFILTRATIONCOLUMNS,DESIGNSTARTDATE,INPCDATE,CONSTRUCTIONCOMPLETEDATE,STATUS,SMPDATA_PHASE,TYPE,FINAL_LINK_COPY
42,1258,Germantown Station,50164,Facilities,Parcel,2690220.46873477,267079.44418804,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,,,,,Design-50% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs
43,1262,Spruance School,50126,Streets,Parcel,2718216.20093259,267858.49836619,1,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,Design-Final,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/greenschools
44,1267,Wissinoming Park,50167,Open Space,Parcel,2719343.08962415,263156.3731152,0,0,0,1,0,2,0,0,4,0,,0,0,0,0,0,,,,,Construction-Construction Started,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs
45,1273,East Park Greenways Parcel,50170,Open Space,Point,2686043.77171815,246446.42069806,1,0,0,5,0,7,0,0,0,0,,0,0,0,0,0,,,,,Construction-NTP,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
46,393,"72nd, Buist, 71st, Dicks (Elmwood Park)",50051,Streets,Parcel,2673138.27416147,221456.65265976,3,0,0,2,0,2,0,0,0,0,,0,0,0,0,0,,,,,Closed,Built,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green_streets
47,1292,Drew (Walnut Center) (UCHS Redevelopment),40945,Schools,Parcel,2684402.15693981,237979.42632254,0,0,0,0,0,11,0,0,0,0,,0,0,0,0,0,,,,,Construction-Construction Started,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/greenschools
48,1302,Palmer Park,50187,Open Space,Parcel,2701976.54779818,244572.53293098,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,,,,,Construction-NTP,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
49,1319,Happy Hollow Package Parks,50196,Open Space,Parcel,2691935.0923129,262105.52572053,2,0,0,2,0,0,0,1,0,0,,0,0,0,0,0,,,,,Design-50% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
50,1333,Wister Playground Package Parks,50202,Open Space,Parcel,2692132.76947026,265661.86563027,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,,,,,Design-90% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
51,1335,229 E LOGAN ST,50201,Vacant Land,Parcel,2693952.99757278,264796.41920449,0,0,0,1,0,1,0,2,0,0,,0,0,0,0,0,,,,,Design-70% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
52,1365,Grays Ferry Neighborhood GSI Stormsewer,50169,Streets,Parcel,2685266.91047467,228869.13414888,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,Design-70% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
